name,ip,port,proto,state,service,product,version,confidence,evidence,banner,http_status,http_server,http_title
www.news,99.83.155.228,1755,tcp,open,wms,,,low,nmap-services,,,,
www.news,99.83.155.228,2000,tcp,open,cisco-sccp,,,low,nmap-services,,,,
www.news,99.83.155.228,2049,tcp,open,nfs,,,low,nmap-services,,,,
www.news,99.83.155.228,2121,tcp,open,ccproxy-ftp,,,low,nmap-services,,,,
www.news,99.83.155.228,3000,tcp,open,ppp,,,low,nmap-services,,,,
www.news,99.83.155.228,3128,tcp,open,squid-http,,,low,nmap-services,,,,
www.news,99.83.155.228,3389,tcp,open,ms-wbt-server,,,low,nmap-services,,,,
www.news,99.83.155.228,3986,tcp,open,mapper-ws_ethd,,,low,nmap-services,,,,
www.news,99.83.155.228,4899,tcp,open,radmin,,,low,nmap-services,,,,
www.news,99.83.155.228,5051,tcp,open,ida-agent,,,low,nmap-services,,,,
www.news,99.83.155.228,5190,tcp,open,aol,,,low,nmap-services,,,,
www.news,99.83.155.228,5432,tcp,open,postgresql,,,low,nmap-services,,,,
www.news,99.83.155.228,5631,tcp,open,pcanywheredata,,,low,nmap-services,,,,
www.news,99.83.155.228,6001,tcp,open,X11:1,,,low,nmap-services,,,,
www.news,99.83.155.228,6646,tcp,open,unknown,,,low,nmap-services,,,,
www.news,99.83.155.228,7070,tcp,open,realserver,,,low,nmap-services,,,,
www.news,99.83.155.228,8008,tcp,open,http,,,low,nmap-services,,,,
www.news,99.83.155.228,8009,tcp,open,ajp13,,,low,nmap-services,,,,
www.news,99.83.155.228,8080,tcp,open,http-proxy,,,low,nmap-services,,,,
www.news,99.83.155.228,8888,tcp,open,sun-answerbook,,,low,nmap-services,,,,
www.news,99.83.155.228,9100,tcp,open,jetdirect,,,low,nmap-services,,,,
www.news,99.83.155.228,32768,tcp,open,filenet-tms,,,low,nmap-services,,,,
www.news,99.83.155.228,49154,tcp,open,unknown,,,low,nmap-services,,,,
www.news,99.83.155.228,49155,tcp,open,unknown,,,low,nmap-services,,,,
www.news,99.83.155.228,49156,tcp,open,unknown,,,low,nmap-services,,,,
www.news,99.83.155.228,49157,tcp,open,unknown,,,low,nmap-services,,,,
